Date,Cured,Deaths,Confirmed
2021-07-28,10018,49,10149
2021-07-29,10029,50,10155
2021-07-30,10042,50,10162
2021-07-31,10051,50,10178
2021-08-01,10055,50,10189
2021-08-02,10070,50,10195
2021-08-03,10078,50,10207
2021-08-04,10086,50,10226
2021-08-05,10100,50,10231
2021-08-06,10109,50,10235
2021-08-07,10125,50,10243
2021-08-08,10133,50,10247
2021-08-09,10145,50,10249
2021-08-10,10145,50,10249
2021-08-11,10165,51,10263
